platform,i,ni,nj,nk,nranks,gridpoints,gridpoints_per_rank,dt,nsteps,main_loop,total_runtime,init,termination,sec_per_step,throughput,continuity,continuity_per_step,continuity_throughput,continuity_frac
cpu,1,32,32,100,1,102400,102400.0,1200,150,19.206149,19.711678,0.463163,0.025672,0.12804099333333332,799743.8736937842,10.234356,0.06822904,1500827.2137494534,0.5328687182422671
cpu,2,64,32,100,2,204800,102400.0,600,150,22.166197,22.427604,0.185381,0.067267,0.14777464666666668,1385894.0259350757,10.758648,0.07172432000000001,2855377.367118991,0.48536282520632656
cpu,4,64,64,100,4,409600,102400.0,600,150,24.737127,25.070585,0.194107,0.130808,0.16491418,2483716.0758401733,11.981017,0.07987344666666667,5128112.24623085,0.48433340702822925
cpu,8,128,64,100,8,819200,102400.0,300,150,32.315066,32.695341,0.197117,0.171495,0.21543377333333336,3802560.7003247337,14.202682,0.09468454666666666,8651887.016832454,0.43950651377286365
cpu,16,128,128,100,16,1638400,102400.0,300,150,51.518143,51.999347,0.252845,0.203318,0.34345428666666666,4770358.279412362,21.033928,0.14022618666666667,11683980.281761924,0.4082819522435038
cpu,32,256,128,100,32,3276800,102400.0,150,150,51.881261,52.510988,0.262146,0.34367,0.34587507333333334,9473940.889755936,20.808577,0.13872384666666668,23621028.963201087,0.4010807871458637
cpu,64,256,256,100,64,6553600,102400.0,150,150,54.759807,55.862983,0.315485,0.761019,0.36506538,17951852.89823976,21.504888,0.14336592,45712398.037134625,0.3927129984223648
cpu,128,512,256,100,128,13107200,102400.0,75,150,53.667979,55.395206,0.436465,1.260781,0.35778652666666666,36634135.226146676,21.081658,0.14054438666666666,93260217.00949706,0.39281631976490117
cpu,256,512,512,100,128,26214400,204800.0,75,150,108.5725,111.796087,0.675541,2.508807,0.7238166666666667,36216905.75421953,43.316844,0.28877896000000003,90776696.47400904,0.3989669944046605
cpu,512,1024,512,100,128,52428800,409600.0,37,150,288.652881,294.318517,1.067061,4.556366,1.92435254,27244903.888556723,120.068551,0.8004570066666666,65498583.38841784,0.4159617274008778
cpu,1024,1024,1024,100,128,104857600,819200.0,37,150,571.996461,583.994041,2.216453,9.740192,3.81330974,27497792.50819526,235.796515,1.5719767666666666,66704293.74242448,0.4122342200994842
gpu,1,32,32,100,1,102400,102400.0,1200,150,17.323165,17.68827,0.338956,0.011851,0.11548776666666666,886673.999814699,1.059628,0.007064186666666666,14495653.191497393,0.06116826803877929
gpu,2,64,32,100,1,204800,204800.0,600,150,17.921038,18.429857,0.32758,0.175532,0.11947358666666666,1714186.4215677686,1.152552,0.00768368,26653895.008641694,0.06431279259605387
gpu,4,64,64,100,1,409600,409600.0,600,150,19.756312,20.275333,0.400499,0.112317,0.13170874666666668,3109892.170158074,1.440357,0.00960238,42656091.51064631,0.07290616791231076
gpu,8,128,64,100,1,819200,819200.0,300,150,21.440376,22.090824,0.533804,0.109837,0.14293584,5731242.77298122,1.956204,0.01304136,62815534.576148495,0.09123925811748824
gpu,16,128,128,100,1,1638400,1638400.0,300,150,26.847654,27.83001,0.76915,0.201157,0.17898435999999998,9153872.438910306,2.168053,0.014453686666666667,113355162.44298455,0.08075390870278648
gpu,32,256,128,100,1,3276800,3276800.0,150,150,34.153198,35.806221,1.268964,0.36746,0.22768798666666668,14391624.468080558,3.446669,0.022977793333333333,142607253.55408368,0.10091789940139718
gpu,64,256,256,100,1,6553600,6553600.0,150,150,52.063015,54.944723,2.219747,0.643068,0.34708676666666666,18881733.9910107,5.321879,0.03547919333333333,184716713.77722043,0.10221995403070683
gpu,128,512,256,100,1,13107200,13107200.0,75,150,87.619078,92.934819,4.104378,1.188113,0.5841271866666666,22438948.741277557,9.622275,0.0641485,204325900.060017,0.10981940485609766
gpu,256,512,512,100,1,26214400,26214400.0,75,150,155.528661,165.662148,7.79247,2.306537,1.03685774,25282542.61765939,16.69798,0.11131986666666667,235487166.711183,0.10736271946686406
gpu,512,1024,512,100,1,52428800,52428800.0,37,150,373.181879,392.606824,14.96306,4.403486,2.4878791933333333,21073692.05887942,47.745294,0.31830196,164714034.43447223,0.12794108365588674
