config,platform,i,run,ni,nj,nk,nranks,gridpoints,gridpoints_per_rank,dt,nsteps,main_loop,total_runtime,init,termination,sec_per_step,throughput,continuity,continuity_frac,kernel_ppm_limit_pos,kernel_reconstruction_x,kernel_reconstruction_y,kernel_zonal_edge_thickness,kernel_meridional_edge_thickness,kernel_ppm_limit_pos_source,kernel_reconstruction_x_source,kernel_reconstruction_y_source,kernel_zonal_edge_thickness_source,kernel_meridional_edge_thickness_source
dev_turbo_CPU,cpu,1,1,32,32,100,1,102400,102400.0,1200,150,18.565258,19.179565,0.458678,0.114665,0.12376838666666666,827351.8202655734,9.708758,0.522953034102731,0.499087,0.448557,0.441245,0.45079,0.441678,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1,2,32,32,100,1,102400,102400.0,1200,150,18.46892,18.689609,0.174549,0.034047,0.12312613333333333,831667.4716225961,9.70796,0.5256376658732617,0.499118,0.448452,0.441925,0.450836,0.4423,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1,3,32,32,100,1,102400,102400.0,1200,150,18.307938,18.560679,0.174131,0.066472,0.12205292,838980.3373815228,9.661005,0.5276948720276418,0.498847,0.449057,0.441489,0.4518,0.441902,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,1,64,32,100,2,204800,102400.0,600,150,22.213516,22.513639,0.188796,0.090915,0.14809010666666667,1382941.8089419072,10.753304,0.4840883361283284,0.443977,0.841376,0.800945,0.843429,0.803319,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,2,64,32,100,2,204800,102400.0,600,150,22.042375,22.306999,0.184034,0.065155,0.14694916666666666,1393679.2201384832,10.833032,0.49146391892888125,0.443679,0.840263,0.804138,0.842327,0.806418,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,3,64,32,100,2,204800,102400.0,600,150,22.007422,22.290059,0.181776,0.085243,0.14671614666666666,1395892.7129220315,10.779005,0.48978953554850724,0.444273,0.84291,0.804836,0.844794,0.806959,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,1,64,64,100,4,409600,102400.0,600,150,24.851782,25.213769,0.193976,0.151506,0.16567854666666668,2472257.3214266887,11.604897,0.4669643810653095,0.459108,0.98541,0.987332,0.988296,0.991026,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,2,64,64,100,4,409600,102400.0,600,150,24.473514,25.495555,0.884179,0.122042,0.16315676,2510469.0728107127,11.572689,0.4728658499960406,0.458881,1.004701,0.988171,1.007837,0.991817,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,3,64,64,100,4,409600,102400.0,600,150,24.454155,24.793887,0.203579,0.120172,0.1630277,2512456.472120995,11.626196,0.47542824522049526,0.458371,1.005361,0.998846,1.008258,1.002646,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,1,128,64,100,8,819200,102400.0,300,150,33.023814,33.500288,0.21097,0.241621,0.22015876,3720951.189950379,13.995942,0.42381361522930083,0.44246,1.324207,1.290321,1.329036,1.296795,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,2,128,64,100,8,819200,102400.0,300,150,31.95186,32.42559,0.202779,0.248401,0.2130124,3845785.5035669287,14.003906,0.43828140208426053,0.448436,1.32845,1.315228,1.3326,1.321828,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,3,128,64,100,8,819200,102400.0,300,150,32.001116,32.472934,0.201056,0.248267,0.21334077333333334,3839866.084670297,14.105798,0.4407908149203296,0.445186,1.328925,1.324169,1.33322,1.331011,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,1,128,128,100,16,1638400,102400.0,300,150,50.565774,51.36678,0.253972,0.503148,0.33710515999999996,4860204.453708155,21.019605,0.4156883863777107,0.789836,2.457122,2.1565,2.46207,2.166793,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,2,128,128,100,16,1638400,102400.0,300,150,50.705039,51.57751,0.332292,0.492178,0.3380335933333333,4846855.556111494,20.960901,0.4133889138710652,0.774262,2.444226,2.130514,2.449038,2.14075,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,3,128,128,100,16,1638400,102400.0,300,150,50.547711,51.359092,0.270783,0.492801,0.33698474,4861941.2261813395,20.967139,0.41479898070953203,0.785717,2.449819,2.142845,2.454749,2.152901,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,32,1,256,128,100,32,3276800,102400.0,150,150,52.136644,53.502249,0.34116,0.97047,0.34757762666666664,9427534.307731815,20.905807,0.40098106429711894,0.751435,2.448113,2.195834,2.452878,2.206596,mom6,mom6,mom6,mom6,mom6
