config,impl,i,ni,nj,gridpoints,nruns,leaf,gpu_ms,launches
dev_turbo_GPU,Fortran do concurrent,1,32,32,102400,2,PPM_reconstruction_x,1.457537,242.0
dev_turbo_GPU,Fortran do concurrent,1,32,32,102400,2,PPM_reconstruction_y,1.347408,242.0
dev_turbo_GPU,Fortran do concurrent,1,32,32,102400,2,ppm_limit_pos,1.2270405,242.0
dev_turbo_GPU,Fortran do concurrent,2,64,32,204800,2,PPM_reconstruction_x,2.0860135,242.0
dev_turbo_GPU,Fortran do concurrent,2,64,32,204800,2,PPM_reconstruction_y,2.06531,242.0
dev_turbo_GPU,Fortran do concurrent,2,64,32,204800,2,ppm_limit_pos,1.770862,242.0
dev_turbo_GPU,Fortran do concurrent,4,64,64,409600,2,PPM_reconstruction_x,3.067909,242.0
dev_turbo_GPU,Fortran do concurrent,4,64,64,409600,2,PPM_reconstruction_y,2.9835705,242.0
dev_turbo_GPU,Fortran do concurrent,4,64,64,409600,2,ppm_limit_pos,2.571998,242.0
dev_turbo_GPU,Fortran do concurrent,8,128,64,819200,2,PPM_reconstruction_x,4.9026655,242.0
dev_turbo_GPU,Fortran do concurrent,8,128,64,819200,2,PPM_reconstruction_y,5.14343,242.0
dev_turbo_GPU,Fortran do concurrent,8,128,64,819200,2,ppm_limit_pos,4.6184525,242.0
dev_turbo_GPU,Fortran do concurrent,16,128,128,1638400,2,PPM_reconstruction_x,9.943175,242.0
dev_turbo_GPU,Fortran do concurrent,16,128,128,1638400,2,PPM_reconstruction_y,10.0456085,242.0
dev_turbo_GPU,Fortran do concurrent,16,128,128,1638400,2,ppm_limit_pos,10.9904045,242.0
dev_turbo_GPU,Fortran do concurrent,32,256,128,3276800,2,PPM_reconstruction_x,18.5188895,242.0
dev_turbo_GPU,Fortran do concurrent,32,256,128,3276800,2,PPM_reconstruction_y,18.4711,242.0
dev_turbo_GPU,Fortran do concurrent,32,256,128,3276800,2,ppm_limit_pos,18.988684,242.0
dev_turbo_GPU,Fortran do concurrent,64,256,256,6553600,2,PPM_reconstruction_x,33.48366,242.0
dev_turbo_GPU,Fortran do concurrent,64,256,256,6553600,2,PPM_reconstruction_y,33.2088465,242.0
dev_turbo_GPU,Fortran do concurrent,64,256,256,6553600,2,ppm_limit_pos,35.545174,242.0
dev_turbo_GPU,Fortran do concurrent,128,512,256,13107200,2,PPM_reconstruction_x,65.4624235,242.0
dev_turbo_GPU,Fortran do concurrent,128,512,256,13107200,2,PPM_reconstruction_y,65.7112895,242.0
dev_turbo_GPU,Fortran do concurrent,128,512,256,13107200,2,ppm_limit_pos,65.6500695,242.0
dev_turbo_GPU,Fortran do concurrent,256,512,512,26214400,2,PPM_reconstruction_x,129.883074,242.0
dev_turbo_GPU,Fortran do concurrent,256,512,512,26214400,2,PPM_reconstruction_y,131.7189145,242.0
dev_turbo_GPU,Fortran do concurrent,256,512,512,26214400,2,ppm_limit_pos,127.287627,242.0
dev_turbo_GPU,Fortran do concurrent,512,1024,512,52428800,2,PPM_reconstruction_x,394.1101975,362.0
dev_turbo_GPU,Fortran do concurrent,512,1024,512,52428800,2,PPM_reconstruction_y,404.924604,362.0
dev_turbo_GPU,Fortran do concurrent,512,1024,512,52428800,2,ppm_limit_pos,368.1542895,362.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,1,32,32,102400,2,PPM_reconstruction_x,1.4248195,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,1,32,32,102400,2,PPM_reconstruction_y,1.4289965,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,1,32,32,102400,2,ppm_limit_pos,1.3320995,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,2,64,32,204800,2,PPM_reconstruction_x,1.9195645,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,2,64,32,204800,2,PPM_reconstruction_y,1.9513095,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,2,64,32,204800,2,ppm_limit_pos,1.5988785,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,4,64,64,409600,2,PPM_reconstruction_x,2.81462,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,4,64,64,409600,2,PPM_reconstruction_y,2.9379,242.0
iturbo_GPU_amrex,C++ AMReX ParallelFor,4,64,64,409600,2,ppm_limit_pos,2.2956155,242.0
